"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Pertussis","All cases","Reported cases","N","1998-11","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1998-11","NO","Norway",147.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","PT","Portugal",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","SE","Sweden",178.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","UK","United Kingdom",27.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-12","DK","Denmark",26.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","EL","Greece",7.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","ES","Spain",2.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","EU_EEA31","EU/EEA",706.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","FR","France",8.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","IE","Ireland",15.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","IS","Iceland",1.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","IT","Italy",312.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1998-12","MT","Malta",-,""
"Pertussis","All cases","Reported cases","N","1998-12","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1998-12","NO","Norway",164.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","PT","Portugal",1.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","SE","Sweden",149.000000000,""
"Pertussis","All cases","Reported cases","N","1998-12","UK","United Kingdom",21.000000000,""
"Pertussis","All cases","Reported cases","N","1999","AT","Austria",103.000000000,""
"Pertussis","All cases","Reported cases","N","1999","DK","Denmark",947.000000000,""
"Pertussis","All cases","Reported cases","N","1999","EL","Greece",36.000000000,""
"Pertussis","All cases","Reported cases","N","1999","ES","Spain",220.000000000,""
